funded_amnt,TermInMonths,int_rate,installment,emp_length,home_ownership,annual_inc,loan_status,purpose,dti,open_acc,total_acc
0.301092762,60,0.87045008,-0.091921197,3,0,-0.059219833,2,2,0.832626561,0.157727593,1.687134201
1.634447379,60,-0.048129088,0.783308228,10,0,-0.305659477,2,2,0.453565025,-1.20617573,0.226998835
2.967801996,36,-1.402444529,3.011133861,5,0,1.446800213,2,2,-0.432188193,1.066996475,0.811052982
0.967770071,36,-0.410850093,1.145650475,1,0,0.351512907,5,1,-0.42963559,0.157727593,0.129656478
1.134439398,60,0.799790144,0.57958956,8,0,-0.525757461,2,2,0.902823142,-0.524224068,-0.649082384
-1.165597316,36,-0.644027882,-1.170441849,2,0,0.652716916,2,12,-0.825289045,-0.751541289,-1.135794173
-0.738923839,36,0.568967687,-0.637935101,10,0,0.214601993,3,8,0.18809432,1.976265357,0.908395339
-0.832258662,36,-1.637977649,-0.869950403,2,0,-0.44257039,2,5,-1.589793624,-1.43349295,-1.427821246
0.434428224,36,-0.969063588,0.491322869,10,0,-0.333041659,1,2,-0.501108472,-1.20617573,-1.038451815
-0.432252277,36,-1.939460042,-0.492519467,2,0,0.269366359,2,1,0.345079401,1.294313695,-0.162370596
-1.298932778,36,-1.637977649,-1.338041702,3,0,-0.552099121,2,2,0.897717936,-0.296906848,-0.746424742
-0.405585185,60,0.87045008,-0.674011172,10,0,1.118214021,2,2,-0.258611194,1.066996475,1.881818917
1.411110481,36,-0.278951546,1.652254262,2,0,-0.399772039,2,2,-1.416216625,-1.43349295,0.129656478
-1.165597316,36,0.338145229,-1.135733591,5,0,0.48842382,3,10,-1.931842418,-1.20617573,-1.427821246
0.301092762,60,-1.637977649,-0.442337823,5,0,-0.278277294,2,2,0.911757252,1.294313695,0.616368266
-1.032261854,36,-1.402444529,-1.060674846,8,0,-0.469952573,2,2,-0.234361466,0.612362034,-0.259712953
-0.898926393,36,1.447506225,-0.773049391,10,0,0.07769108,2,2,-1.329428125,-1.660810171,-0.649082384
-0.618921923,60,-0.969063588,-0.991001864,1,0,-0.606863486,2,0,-1.662542808,-0.978858509,-0.649082384
0.167757301,36,-0.410850093,0.280166718,10,0,1.036067473,2,2,0.438249408,0.157727593,-0.551740026
-0.098913623,36,-0.048129088,0.030027892,3,0,0.214601993,3,1,-0.557265737,1.976265357,1.29776477
-0.258916177,36,-1.939460042,-0.321927524,2,0,-0.606863486,2,7,0.148528975,-0.524224068,-0.551740026
-0.632255469,36,-1.637977649,-0.669309314,2,0,-0.743774399,2,2,-1.252850037,-0.296906848,-0.551740026
-1.145596997,36,-0.203580947,-1.133126197,4,0,0.105073263,2,0,-0.157783378,0.385044813,-0.259712953
-0.632255469,36,-0.410850093,-0.585317039,7,0,-0.606863486,3,2,0.217449254,1.294313695,-0.259712953
-0.898926393,36,-1.703926922,-0.940136314,10,0,-0.579481303,2,5,-0.589173274,-0.524224068,-0.454397669
-0.018912346,36,-0.203580947,0.101154174,2,0,0.351512907,2,2,-1.228600309,-1.20617573,0.324341193
-1.005594762,36,-0.410850093,-0.98920661,1,0,-1.017596226,2,2,-0.452609017,-0.751541289,-1.330478888
-0.365584546,36,-2.078424583,-0.438362616,9,0,-0.059219833,1,2,-1.769752131,-0.751541289,0.908395339
-0.97892767,36,-0.048129088,-0.943128405,7,0,-0.387806025,2,1,0.900270539,0.839679254,-0.065028238
2.301124687,60,1.789029249,1.835242012,4,0,0.762245646,6,4,0.149805276,0.157727593,1.200422413
-0.312250361,36,-0.644027882,-0.260247701,3,0,0.159837628,3,1,0.236593776,-0.069589628,-0.649082384
-0.365584546,36,-0.969063588,-0.345180347,10,0,-0.333041659,3,2,-1.756989117,-1.20617573,-0.162370596
